dataset_name,COPOD_ROC,DeepSVDD_ROC,COPOD_PR,DeepSVDD_PR,difficulty,radius,vectors,classes,train_len,test_len,anomaly_len,radius_diff
0_2_000000000_000000000_media_religion,0.4984747112185411,0.5149410259180333,0.5169733468103165,0.5127641879720165,0,2,"['000000000', '000000000']","['media', 'religion']",54385,11042,5521,radius: 2 ; differance: 0
0_2_000000001_000000001_good news_weird news,0.6061188855821291,0.4220016780809638,0.621084060260499,0.4614550664039709,0,2,"['000000001', '000000001']","['good news', 'weird news']",109211,8350,4175,radius: 2 ; differance: 0
0_2_000000100_000000100_entertainment_comedy,0.5463821918014554,0.5307726799864008,0.557934254330495,0.550400551855315,0,2,"['000000100', '000000100']","['entertainment', 'comedy']",131272,45524,22762,radius: 2 ; differance: 0
0_2_000100000_000100000_latino voices,0.5523416085832876,0.4856128122797399,0.5364046251095935,0.5042222597193474,0,2,"['000100000', '000100000']",['latino voices'],158906,2260,1130,radius: 2 ; differance: 0
0_2_000101000_000101000_black voices_women,0.5069516469115967,0.4893025873246018,0.501915426747975,0.4921729430972086,0,2,"['000101000', '000101000']","['black voices', 'women']",175009,16310,8155,radius: 2 ; differance: 0
0_2_000101010_000101010_queer voices,0.4684853388317053,0.4606776408212914,0.4793039532045833,0.4653270053664096,0,2,"['000101010', '000101010']",['queer voices'],187548,12694,6347,radius: 2 ; differance: 0
0_2_001000100_001000100_style,0.5100874008175307,0.426596835971699,0.5004501337832135,0.4412731575472958,0,2,"['001000100', '001000100']",['style'],130530,24136,12068,radius: 2 ; differance: 0
0_2_010000000_010000000_fifty,0.2206769815177392,0.4573785116270065,0.3536059547718971,0.472151349179302,0,2,"['010000000', '010000000']",['fifty'],83990,2802,1401,radius: 2 ; differance: 0
0_2_010000001_010000001_politics_sports,0.5618523991779285,0.5132731466917985,0.551561526012466,0.5139736475042087,0,2,"['010000001', '010000001']","['politics', 'sports']",60324,81358,40679,radius: 2 ; differance: 0
0_2_010000010_010000010_wellness_parenting_divorce,0.407523790338152,0.5319366611100815,0.4195069520831402,0.5245225531860329,0,2,"['010000010', '010000010']","['wellness', 'parenting', 'divorce']",74397,68234,34117,radius: 2 ; differance: 0
0_2_010001000_010001000_college,0.4201511993251503,0.4386010623991393,0.4445489038241506,0.451637408816664,0,2,"['010001000', '010001000']",['college'],112286,2288,1144,radius: 2 ; differance: 0
0_2_010010001_010010001_business_crime,0.5151165248281432,0.4925590319236481,0.531008054947395,0.4895126005936198,0,2,"['010010001', '010010001']","['business', 'crime']",139290,19108,9554,radius: 2 ; differance: 0
0_2_010011001_010011001_education,0.4153235375356449,0.4825266777929499,0.4318083553058441,0.477164449082725,0,2,"['010011001', '010011001']",['education'],152262,2028,1014,radius: 2 ; differance: 0
0_2_010011011_010011011_money,0.4507351300584783,0.4406402260262244,0.4415353142792976,0.4593715108445735,0,2,"['010011011', '010011011']",['money'],193343,3512,1756,radius: 2 ; differance: 0
0_2_011000010_011000010_weddings,0.4309358323774399,0.5560786168949108,0.4275340896814275,0.5446001049954294,0,2,"['011000010', '011000010']",['weddings'],162383,7306,3653,radius: 2 ; differance: 0
0_2_011000110_011000110_home & living,0.525987145276063,0.4744741565929355,0.4976977202067544,0.4910471464501867,0,2,"['011000110', '011000110']",['home & living'],134455,8640,4320,radius: 2 ; differance: 0
0_2_100000001_100000001_world news_u.s. news,0.6785469648321876,0.4714032497045639,0.6835217378594856,0.4739773514703085,0,2,"['100000001', '100000001']","['world news', 'u.s. news']",125842,21838,10919,radius: 2 ; differance: 0
0_2_100000010_100000010_impact,0.4527456827405848,0.5595397724351834,0.4554054805723214,0.5466095359452144,0,2,"['100000010', '100000010']",['impact'],141242,6968,3484,radius: 2 ; differance: 0
0_2_100001000_100001000_environment,0.4835720934148768,0.444135971908662,0.5011308934636189,0.459093256941026,0,2,"['100001000', '100001000']",['environment'],169966,8132,4066,radius: 2 ; differance: 0
0_2_100011000_100011000_science,0.5223756153373845,0.4943719592736861,0.5427337983326552,0.4949963226323144,0,2,"['100011000', '100011000']",['science'],198945,4412,2206,radius: 2 ; differance: 0
0_2_101000100_101000100_food & drink,0.5759207516455589,0.4909117257183815,0.5414747611508207,0.4860568107105205,0,2,"['101000100', '101000100']",['food & drink'],144003,16872,8436,radius: 2 ; differance: 0
0_2_101000101_101000101_arts & culture,0.4513219080067434,0.4603084016444065,0.4626537912178293,0.4717343157923909,0,2,"['101000101', '101000101']",['arts & culture'],160360,7844,3922,radius: 2 ; differance: 0
0_2_110000110_110000110_healthy living tips,0.4301057477904976,0.5118921296303321,0.4552186999004459,0.5020313249112722,0,2,"['110000110', '110000110']",['healthy living tips'],144318,13388,6694,radius: 2 ; differance: 0
0_2_110011001_110011001_tech,0.6049040664893233,0.5534716148129942,0.5681075250119267,0.5412352288990534,0,2,"['110011001', '110011001']",['tech'],190789,4208,2104,radius: 2 ; differance: 0
0_2_111000100_111000100_travel,0.4383223650647893,0.5771174063871034,0.439296116091103,0.5657014534788332,0,2,"['111000100', '111000100']",['travel'],154287,19800,9900,radius: 2 ; differance: 0
